id,query,reply,label,reply_len,reply_num_diverse_words
356,"No , I ’ m afraid not , Mary . May I take a message for her ?","Yes , please tell her that band practice has been moved to Tuesday night at eight thirty .
",0,18,18
357,O . K . No problem . Anything else ?,"No , but if she has any questions , she can call me at 555-2345 .
",0,16,14
358,"All right , I ’ ll leave her the message , Mary . Thanks for calling .","Thank you . Bye .
",0,5,4
359,Do you speak English ?,"Yes , a little .
",0,5,5
360,Can you tell me how to get to the Jade Buddha Temple ?,"I'm sorry . I can't quite follow you . Would you mind speaking slowly ?
",0,15,13
361,How do you get road news ?,"I've a driver mate in my car !
",0,8,8
362,So you have all the news on broadcast ?,"Yes , it's so helpful .
",0,6,6
363,Can I help you ?,"Yes , I'm in a bit of a rush . Could I have a piece of apple pie please ?
",0,20,17
364,Certainly . Would you like it with ice cream ?,"No , thanks .
",0,4,4
365,I'd like to make an appointment with Dr.Cooper.Could you arrange it for me ?,"Yes.Would tomorrow morning be all right with you ?
",0,9,9
366,"Sorry , I've got a meeting from nine to ten.What about Monday afternoon ?","I'm afraid he's fully engaged.Could you make it another time ?
",0,11,11
367,Hey ! What are you doing here ?,"I'm just shopping .
",0,4,4
368,What are you shopping for ?,"Some new clothes . How about you ?
",0,8,8
369,Same here .,"Have you found anything nice yet ?
",0,7,7
370,I found a few pairs of pants .,"Where'd you get those ?
",0,5,5
371,I found them at JC Pennies .,"Those are really cute .
",0,5,5
372,Do you want me to show you where I found them ?,"I would like that . Thank you .
",0,8,7
373,"Hello , is that Xiaogang Li who applied for the Solar Studio of our college ?","Yes , speaking .
",0,4,4
374,I want to know whether you will come to the interview . So have you accepted offers from other companies ?,"No , I haven't got one by now . I will go to the interview of yours .
",0,18,16
375,I need help with the office party .,"Yes , of course . We could split it . What part would you like to do , the food or the entertainment ?
",0,24,21
376,I have no idea what the entertainment should be .,"Let's make sure we are on the same page . Do we want a formal or informal gathering ?
",0,19,18
377,Let's make it a formal affair .,"Yes , that would be best . Now , for food should we have Chinese or American food ?
",0,19,17
378,American food would be the best choice .,"That would be great . What kind of music would you like , a band or recorded music ?
",0,19,17
379,We should bring in a really good DJ .,"That works for me . Let's see what we can each do about planning our part and meet again on Friday .
",0,22,21
380,Help ! Help !,"What's the matter ?
",0,4,4
381,"What would you like to eat , sir ?","Scrambled egg , bacon , three pieces of bread and a cup of tea .
",0,15,13
382,Would you care for some lemon for your tea ?,"No , thank you .
",0,5,5
383,Where's the toilet ?,"Over there .
",0,3,3
384,Only one . But I wanted to make sure I'd get it .,"Yeah , I really wanted that Chanel bag , too . But just in case you should bid low .
",0,20,18
385,But there are only two more days until the bidding closes !,"I bid on a Chanel watch at the last minute , and got it sixty percent off !
",0,18,18
386,Oh ... I'm such a newbie . But at least I'm sure I'll get that tennis racket .,"Don't count on it , Babe . eBay is always full of surprises .
",0,14,13
387,Can you tell me where the pots and pans are ?,"Pots and pans are right over there .
",0,8,8
388,"Oh , thank you .","Could I interest you in our store credit card ?
",0,10,10
389,"No , thanks . I already have credit cards .","But our credit card saves you 10 percent .
",0,9,9
390,That's a nice discount .,"Here . Let me give you an application form .
",0,10,9
391,"Thank you , but I'm just browsing today .","Okay . Enjoy your browsing .
",0,6,5
392,Here is the fish counter . Look at the lobsters and crabs . Shall we have some ?,"I'm allergic to these things , you know .
",0,9,9
393,"Sorry , I forgot . I don ’ t like seafood , neither .","Let ’ s go over there and get some milk , a couple dozen eggs and some orange juice .
",0,20,18
394,Let's get frozen juice . It is really good . We ’ Ve got enough food . Let ’ s go over to the check-out stand .,"OK . But just let me pick up a bottle of cooking wine and oil as we go by .
",0,20,19
395,"Good morning , may I speak with Professor Clark , please ?","You are speaking with Professor Clark .
",0,7,7
396,"Professor , I am Kalina from your morning literature class .","Yes , how can I help you ?
",0,8,8
397,I ran my car into a tree yesterday and need to miss a few days of school .,"Oh , my God ! I hope you are all right .
",0,12,12
398,"I have a concussion , but I will be OK .","How much school will you miss ?
",0,7,7
399,I only need to take this week off .,"I appreciate you calling and telling me that you won ’ t be in class . See you next week !
",0,21,19
400,"Hello , Parker . How ’ s everything ?","Can ’ t complain . And you ?
",0,8,8
401,Business is booming . I understand you want to meet up with me next week . How ’ s your schedule looking ?,"Let me see . I can come out and see you first thing Wednesday .
",0,15,13
402,How come it is slow as a snail today ?,"You mean the network connection ?
",0,6,6
403,"Yes , I wanted to look for some information on the company page just now . It took me almost one minute to open it . Then there is no response to any click .","I have the same question . I can ’ t send out mails . We ’ d better call the IT department and ask them to check it immediately .
",0,30,25
404,"Honey , I need to have a talk with you .","Dad , I have to do my homework .
",0,9,9
405,"No , honey , why didn't you go to cram school last night ?","Dad , I don't want to talk about it now .
",0,11,11
406,"Honey , if you don't want to go to cram school , you should tell me the reason why .","I'm sorry , dad . But I would rather stay at school than go to cram school .
",0,18,16
407,"What's wrong with you , young man ?","Doctor , I have a bad cough and a headache .
",0,11,10
408,Do you have a fever ?,"I don't know , but I feel terrible .
",0,9,8
409,Let me examine you . Don't worry . It's nothing serious .,"Do you think I should lie in bed ?
",0,9,9
410,"Yes , stay in bed and drink a lot of water . Your fever will be gone in a day or two .","OK . Do you think I can play football tomorrow ?
",0,11,11
411,Of course not . You need a good rest .,"OK , I'll listen to you .
",0,7,7
412,I want something sweet after dinner .,"What do you have in mind ?
",0,7,7
413,A dessert sounds nice .,"What kind are you thinking of getting ?
",0,8,8
414,I want to get some pie .,"What kind of pie do you want ?
",0,8,8
415,I have no idea .,"Do you want to know what kind of pie I like ?
",0,12,12
416,"Sure , what kind do you like ?","I love apple pie .
",0,5,5
417,"Oh , I love apple pie too .","There you go . Problem solved .
",0,7,6
418,Let's go now .,"I'll be with you in a minute .
",0,8,8
419,May I help you ?,"Yes . Do you exchange foreign money here ?
",0,9,9
420,Yes . Our bank is authorized to deal with foreign exchange .,"What kinds of currency do you change ?
",0,8,8
421,"We can change only three kinds of currency , USD , Japanese Yen and HK Dollar in our savings office .","Could you tell me what the exchange rate for USD is today ?
",0,13,13
422,The buying rate is 826 . 44 yuan for 100 dollars .,"I want to change some Us dollars to cover my expense here .
",0,13,12
423,"Please go to Counter No . 2 , the foreign exchange counter . It's over there .","Thank you .
",0,3,3
424,I want to see the man responsible for selling typewriters .,"My name is Steven . I'm the Sales Manager of this company .
",0,13,12
425,"Well , look here . Ten new typewriters were delivered to my company yesterday afternoon and only five of them work properly .","Oh , I'm sorry about that .
",0,7,7
426,"Never mind being sorry , what are you going to do about it ?","Don't worry , we'll soon fix them .
",0,8,8
427,"Good , I hope you'll make sure that it won't happen again .","I'll certainly look into that .
",0,6,6
428,I'm looking for a string of pearls for my wife .,"Yes , sir . What price range do you have in mind ?
",0,13,13
429,I'm not sure . I don't know very much about the price of pearls .,"I see . Let me show you some samples of various qualities . This one is very nice . It's three hundred and fifty dollars .
",0,26,23
430,Is there a price reduction ?,"We are having a sale now . The price has already gone down .
",0,14,13
431,How much is that one ?,"It's two hundred and eighty dollars .
",0,7,7
432,Can I help you ?,"Yes , I would like to buy a Walkman . Can you tell me about the models you have ?
",0,20,19
433,"Well , we have a lot of models here.Did you want to listen to CD's or cassettes or the radio ?","Mostly cassette tapes .
",0,4,4
434,Alright . There are several models you may want to look at.This Kreng portable cassette player is very good .,"Kreng ? I've never heard of that company .
",0,9,9
435,"It's a German company.This unit has auto-reverse , recording capability , and an AM / FM radio band.It also has a built-in microphone .","I suppose I don't want that one then . I don't like auto-reverse . It breaks too easily .
",0,19,14
436,Really ? Have you had an auto-reverse break before ?,"Yes , twice now . I think it's too high-tech , and so it's the first part that breaks .
",0,20,17
437,"Hmm . You know , the problem might be dust . Did you clean the unit often ?","Well . No , I didn't clean it.But still , I only had the last one two months , and it broke . I don't trust auto-reverse .
",0,28,22
438,"Alright . Well . We have many units without auto-reverse.Here is a good unit . Very reliable.It has an AM / FM band , built-in microphone , recording capability , and no auto-reverse .","How much is it ?
",0,5,5
439,This one sells for $ 39.99 .,"Can I test it out ?
",0,6,6
440,Of course .,"It sounds great . I'll take it .
",0,8,7
441,Fine . I think you'll be happy with it . It's a very good unit . Very reliable . I'll go get you a new one in a box . I will be back in just a moment .,"Thanks .
",0,2,2
442,Tell me about yourself .,"I was born and raised in Beijing . I attended Peking University and received my bachelor's degree in Economics . I have worked for 2 years as a financial consultant in Beijing for China Pacific Insurance Co . Ltd .
",0,40,30
443,What type of position are you looking for ?,"I'm looking for a position in which I can utilize my experience .
",0,13,13
444,Are you interested in a full-time or part-time position ?,"I am more interested in a full-time position . However , I would also consider a part-time position .
",0,19,15
445,Can you tell me about your responsibilities at your last job ?,"I advised customers on financial matters . After I consulted the customer , I completed a customer inquiry form and catalogued the information in our database . I then collaborated with colleagues to prepare the best possible package for the client . The clients were then presented with a summarized report on their financial activities that I formulated on a quarterly basis .
",0,63,45
446,What is your greatest strength ?,"I am an excellent communicator . People trust me and come to me for advice . One afternoon , my colleague was involved with a troublesome customer who felt he was not being served well . I made the customer a cup of coffee and invited both my colleague and the client to my desk where we solved the problem together .
",0,62,46
447,What is your greatest weakness ?,"I tend to spend too much time making sure the customer is satisfied . However , I began setting time-limits for myself .
",0,23,21
448,Why do you want to work for our company ?,"After following your firm's progress for the last 3 years , I am convinced that your company is becoming one of the market leaders and I would like to be a part of that team .
",0,36,31
449,When can you begin ?,"Immediately .
",0,2,2
450,Please tell me how to file things according to the concerned rules .,"Well , all right . There are four points you should keep in mind when you file documents , information and other things .
",0,24,21
451,What are they ?,"They are keep the documents in chronological order , remove all the chips and pins , punch the documents evenly and place them in the folder .
",0,27,20
452,And what is the most important point ?,"You should always remember that one customer one file is the rule .
",0,13,12
453,"Yeah , look at all those new buildings going up ! Mr . Zhang , the traffic is pretty smooth . But we were told the roads from the airport to downtown were quite crowded and traffic jams could be as long as half an hour .","Yes , they were . But it has already past . The traffic from the airport to downtown has been relieved after the completion of Yan'an Aerial Road .
",0,29,25
454,"We've never expected that Shanghai is such a big metropolis , same as New York city . David , would it be a good idea to rent a car here ? I've got an international driver's license with a pretty good record in the States .","That's wonderful . OK . I'll remember that . But I have to warn you that you must drive very carefully in the downtown area , for there're no separate lanes for motor vehicles and bicycles in some places , and still quite a few people don't take road regulations seriously .
",0,52,43
455,This house is not looking all that great from here,"You can ’ t really tell everything about a house from the outside . Let ’ s go inside .
",0,20,18
456,I don ’ t think that it is looking any better inside here .,"I think that fresh paint and cleaning would help it look a little better .
",0,15,15
457,It is just too dark in here with so few windows .,"I hear that the kitchen is quite large . Let ’ s go check it out .
",0,17,16
458,"The kitchen may be large , but it doesn ’ t have any storage space .","The master suite is supposed to be quite elegant . Maybe it will be a little better .
",0,18,16
459,How many dogs live in this house ?,"I think that we have seen all that we need to see here . Let ’ s go look at another house .
",0,23,20
460,"Excuse me , waiter , I would like to have some wine before the main course .","Have you decided what wine you would like ?
",0,9,8
461,I have no idea . Maybe you can give me some advice .,"I recommend you the white wine . It will wake up your appetite .
",0,14,13
462,Come on ! It's time to go !,"Wait a minute ! Just hold your horses ! What's your hurry , anyway ?
",0,15,13
463,"Well , I've got to stop and get gas in the car , first .","That won't take long .
",0,5,5
464,"Well , it won't if there no line at the pump .","Well , I'm not quite ready .
",0,7,7
465,"I'll give you five more minutes , then I'm going on without you !","You wouldn't do a thing like that !
",0,8,8
466,"I wonder if I can see your mother , little boy . Is she engaged ?","Engaged ? She ’ s married .
",0,7,7
467,"Johnny , I wish you ’ d stop reaching for things . Haven ’ t you a tongue ?","Yes , Mother , but my arm is longer .
",0,10,9
468,Hello ! Tomorrow I'm going to need a wake-up call .,"Not a problem . What time shall we call you ?
",0,11,11
469,"I always hit the snooze button , so give me two calls , one at 7 and another at 7 fifteen .","It'll be our pleasure . We'll call you at 7 and then at 7 fifteen .
",0,16,13
470,"Oops , cancel that . Change the second call to 7 thirty will you , please ?","No sooner said than done . Can I help you with anything else ?
",0,14,14
471,"No , that's about it for now . Thanks .","Okay , sir . Have a pleasant evening .
",0,9,8
472,Have you seen our new packing specifications ?,"Yes , I have , Mr . Thomas . We'll pack them two dozen to one carton , and the gross weight is around 25 kilos a carton .
",0,29,24
473,I'm really in a flap about the interview .,"Take it easy.you ' Ve made enough preparations .
",0,9,9
474,I'm in such a need of the job that I can't afford any mistakes .,"I'm sure you'll pass it .
",0,6,6
475,Do you think my briefcase is big enough to put in all these stuff ?,"Let me see . Laptop , flash disk , a ballpoint pen , a pencil , a notebook , a pair of glasses , cell phone , charger , moisture lotion , ... Oh , that is too much . You are not going to a business trip .
",0,49,34
476,I guess I need all of them .,"Actually , the company will provide you with all of these supplies . So , you can leave this very thick notebook at home .
",0,25,22
477,I know . But it is my lucky charm . I carry it all the time .,"Suit yourself . Don ’ t forget to set the alarm clock .
",0,13,12
478,May I know where you are going ?,"Yes . I want to go to Beijing Hotel .
",0,10,8
479,I'm sorry . You are going in the wrong direction .,"Oh no ! What shall I do ?
",0,8,8
480,Don't worry . You can get off at the next stop and go across the street through the overpass . The bus stop is right there .,"Thank you very much .
",0,5,5
481,"Steven , shall we go shopping tomorrow ?","Hum ... Why not go shopping the day after tomorrow ? Tomorrow is Saturday . I hate all the hustle and bustle of Saturday shopping .
",0,26,22
482,"But Sunday is the same with Saturday . If you don ’ t mind , that's OK .","Hum.Maybe it will be better . The most important thing is that I can have a day to relax after a week's work .
",0,24,22
483,I see . We will go the day after tomorrow .,"By the way , what kind of stores do we need to go ?
",0,14,14
484,"I want to buy some clothes in clothing store . When we are going back , go to the butcher's shop and buy some chicken .","Let ’ s also go to the jewelry store to buy a crystal necklace . I want to buy one for you as your birthday present .
",0,27,23
485,Have you seen the tower in front of us . That's the famous Eiffel Tower . It was built in 1889 for the World's Fair .,"How tall is this building ?
",0,6,6
486,It stands 320m ( 1050ft ) high and held the record as the world's tallest structure until 1930 .,"I have heard its name is connected with someone , is that right ?
",0,14,13
487,Good afternoon ! Trans Pacific Airline . How can I help you ?,"I ’ m calling to cancel my reservation for Trans Pacific Flight 8 on July 19 from Taipei to Minneapolis . Could you please make it for the same flight on August 2 instead of July 19 ?
",0,38,33
488,"What ’ s your name , please ?","My name is Judy Wang .
",0,6,6
489,"How do you spell your name , please ?","My first name is J-U-D-Y , and my last name is W-A-N-G .
",0,13,11
490,Please note that this ticket has a penalty of $ 75 for any change or cancellation .,"It ’ s OK . Where should I pay for the penalty ?
",0,13,13
491,"At the airport . OK , Miss . Wang , your Flight 8 on July 19 from Taipei to Minneapolis is canceled . Your new reservation is Trans Pacific Flight 8 from Taipei to Minneapolis at 9 thirty a . m . on August 2 .","That ’ s 1POJ7403 .
",0,5,5
492,That ’ s correct .,"Thank you !
",0,3,3
493,Is there anything else I can do for you ?,"No , thanks . I ’ m all set . Good-bye .
",0,12,10
494,Is this supply ?,"Yeah . This is supply . What can I do for you ?
",0,13,12
495,"This is Rachel in Human Resources . I need two boxes of company letterhead , one box of ball-point pens , and a box of envelopes .","All right . No problem . What ’ s your extension ?
",0,12,11
496,"John , I ’ d like you to meet Charles Brown , our new manager at the airport .","Yes , certainly . How can I recognize him ?
",0,10,10
497,"He is short , well-built , and he ’ s got light blond hair .","Is there anything else ?
",0,5,5
498,"He has a mustache , if I remember correctly , and a light complexion .","How old is he ?
",0,5,5
499,He is in his late thirties .,"Well . I shouldn ’ t have any trouble recognizing him . What time does his flight arrive ?
",0,19,18
500,What can I get for you today ?,"Could I get a hamburger , please ?
",0,8,8
501,Would you like cheese on that ?,"No , thank you .
",0,5,5
502,Would you like a drink ?,"Let me have a soda .
",0,6,6
503,What kind of soda would you like ?,"May I have a Sprite , please ?
",0,8,8
504,"Sure , no problem .","I would also like a bag of chips .
",0,9,9
505,Will that be all ?,"That's everything .
",0,3,3
506,Please tell me something about your insurance background .,"I majored in international banking at college so I took many insurance courses . And I worked at an insurance company for my graduation field work .
",0,27,22
507,Why do you want to be an insurance agent ?,"I care about people and I know the importance of insurance .
",0,12,11
508,Do you have any work experience in promotion ?,"Yes , I do . I have worked as a salesman for P & G Company Ltd .
",0,18,16
509,Do people respond well to you ?,"Yes , I'm good with people .
",0,7,7
510,"Ah , here we are .","This is the place I was telling you about .
",0,10,10
511,Would you like to sit near the window ?,"Good .
",0,2,2
512,"Let's have a look at the menu . Oh , there isn't a menu . Do you think you could ask the people at the next table if we could look at their menu ?","Yes , of course . Excuse me . Could you possibly let us see your menu ? Oh . They haven't got one either .
",0,25,22
513,Are you going to buy a bicycle ?,"I ’ m thinking about it . How much is it ?
",0,12,11
514,¥ 350 .,"Oh , dear . It ’ s too expensive . Can you give me a better price ?
",0,18,17
515,"Your discount is already included . Normally we charge ¥ 400 , but now we can give you a special price . This is our sale period .","It ’ s still too much . Can ’ t you make it any cheaper than that ?
",0,18,17
516,"Sorry , but this is the best price . You can ’ t get it any cheaper than here .","I see . Can I pay by traveler ’ s checks ?
",0,12,11
517,Do you have a free moment ?,"Sure . What do you need ?
",0,7,7
518,I'm having some trouble . How do you use this printer ?,"Well , first you have to turn this switch on .
",0,11,11
519,Silly me .,"Now press this button .
",0,5,5
520,"Oh , and it's out of paper . Do you have any more ?","Just a second . I'll go get some .
",0,9,8
521,I need help using the washer and dryer .,"Tell me what the problem is .
",0,7,7
522,I can't figure out how to turn them on .,"Do you have some quarters ?
",0,6,6
523,I didn't know I needed change .,"The washer costs 50 cents and the dryer costs a dollar .
",0,12,11
524,Where do I put the change ?,"The quarters go into the slot . You have to push the slot in , and the machine will turn on .
",0,22,18
525,Is that everything that I have to do ?,"That's all there is .
",0,5,5
526,I appreciate you helping me with this .,"If you need anything else , just let me know .
",0,11,11
527,Do you have any questions ?,"Yes , do I have to work a whole year before I can take a vacation ?
",0,17,15
528,"Yes , after you ’ Ve been here a year , you qualify for a three-day vacation","Only three days ?
",0,4,4
529,That's the company policy .,"What happens if I use up my sick days before the end of the year ? If I ’ m sick an extra day or two , will my pay be deducted ?
",0,33,28
530,Yes . That's the company policy .,"It was the same as the last place I worked at . I was hoping you ’ d be different .
",0,21,17
531,I am absolutely famished .,"Yeah . I am too .
",0,6,5
532,Where did you want to go for lunch ?,"I was thinking we should just go to the cafeteria .
",0,11,11
533,I don't think I ever got food from the cafeteria .,"I actually like the food there .
",0,7,7
534,Does the cafeteria sell a lot of different food ?,"They have anything you want .
",0,6,6
535,I was thinking about getting some Chinese food .,"I bought some chow mein at the cafeteria . It tasted great .
",0,13,12
536,We can eat at the cafeteria .,"I think you'll really like the food there .
",0,9,9
537,"Here is the draft contract , Mr . Brown . Let's discuss the clauses to see if we agree on all of them . Then I will make out an original of the contract . After that , what's left is to fill out the contract and sign our names .","That's OK .
",0,3,3
538,The contract is to be written in Chinese and English . Both languages are equally effective .,"Fine . If you'll excuse me , I'd like to go it over first . ( After about 15 minutes ) Hmm , you've done a pretty good job . It's well prepared .
",0,34,30
539,Thank you .,"Well , I suggest that we discuss only the clauses and points where we have different opinions just to save time .
",0,22,21
540,That's a good idea .,"First , let's read Clause Two about packing . It's our usual practice to ship our products in containers . That'll save time and money , but your contract stipulates the use of wooden cases . So , we'd like to have the words containers are allowed in the contract .
",0,51,39
541,Agreed .,"For shipment , you know we are producing a complete set of equipment for you and it won't all be finished at one time . So would you allow us to make partial shipments .
",0,35,32
542,I want to buy a black suit .,"Certainty.Do you want double breasted suit or single breasted suit ?
",0,11,9
543,I prefer single breasted suit .,"What about this one ? It's a very nice 3 - piece suit .
",0,14,14
544,"How do you do ? Nice to meet you , Diane .","How do you do , Jack . Nice to meet you .
",0,12,9
545,"Well , I think you ' Ve reconsidered our proposal , Diane .","Yes , you are right . After all , the quality of your air conditioners is good . The only problem is price .
",0,24,20
546,"I should not be surprised , many customers have the same opinion . Do you have any suggestion in mind ? Our salesman told your secretary that the price could be negotiable .","That's why I came to your office today . We think for your model WE - 506 $ 590 would be reasonable , because air conditioners of the same kind sold by other companies are usually about 579-649 .
",0,39,37
547,"That's true . But if you understand that quality is the most important aspect of a product , you'll agree that 679 is not high , especially when we allow you a 10 % discount .","I see your point . That's to say s 611 each set . Still it's much higher than the market price . Could you see your way to reduce the price , Jack ?
",0,34,27
548,"Well , considering the quantity of your order we could further reduce the price to 600 . That's the best we can do . What do you think of that ?","All right . We accept it . So $ 600 for each set .
",0,14,12
549,Don't I know you ?,"I'm not sure.You look familiar .
",0,6,6
550,"You're Mr.Stevenson , right ?","Yes.And you're Mr.Jones , I remember .
",0,7,7
551,That's all the general information of our company . I think you already have good knowledge about our company .,"Yes , I have an overall understanding .
",0,8,8
552,"When we have the final results , we will call you .","Then when will I get a reply at the latest ?
",0,11,11
553,"If you pass the interview , the personnel department will inform you within two weeks .","But if I don't pass , will you call me ?
",0,11,11
554,"I'm sorry we won't . You can wait for two weeks . If you don't get a telephone call , it means that you weren't successful .","Then do I have the chance to get this job ?
",0,11,11
555,"I'm sorry but I can't make the final decision myself , and I have to discuss it with other interviewers .","I know . No matter what the result will be , I have learned a lot from our conversation .
",0,20,18
556,Your mentality is very good and that's great .,"Thanks for giving me the opportunity of this interview .
",0,10,10
557,I have a stomachache .,"Well , you'd better lie down now . You need a good rest .
",0,14,13
558,What kind of personality do you think you have ?,"I'm quite active and energetic . I approach things enthusiastically and I don't like to leave things half-done .
",0,19,15
559,Do you think you are introverted or extroverted ?,"I'm quite outgoing i think . I enjoy mixing and doing things with others .
",0,15,14
560,What do you think is the most important thing for you to be happy ?,"I maintain that the most important thing is having good friends . A person can't live all by himself I think . A friend in need is a friend in deed.The more really close friends I have , the better .
",0,41,31
561,What kind of people do you like to work with ?,"People who are honest , dedicated to their work and having integrity .
",0,13,13
562,"I would like to take this opportunity to welcome Monica to our company and introduce her to her department and colleagues . For all of you , we hired Monica because she is a very professional accountant and we are very happy to have her in the finance department . She has lots of working experiences as an accountant and I am sure everybody in the department can benefit from this .","Hello , everybody . I am Monica and this is my first day at work . I am working in the finance department . I am very happy to meet everyone and I am looking forward to working well with all of you . I am very happy to be one of the team and I will do my best to get into the working situation as soon as possible . By the way , call me Monica . Everybody calls me so .
",0,84,51
563,Were you in a leadership position when you were a college student ?,"Yes . I was president of the Student Council of our university .
",0,13,11
564,Did you get any honors or awards at your university ?,"Yes . I was elected Excellent Party Member for four academic years .
",0,13,12
565,Were you involved in any club activities at your university ?,"Yes . I was a member of the Student Poetry Society . I like writing poems in my spare time .
",0,21,18
566,What extracurricular activities did you usually take part in at your college ?,"I sometimes played table tennis and sometimes played basketball .
",0,10,8
567,"Margaret , I'd like to follow up with the arrangements for our company retreat , to take place next month . We need to book the venue , make arrangements for speakers and door prizes , and set up all the activities and accommodations . Also , very important , we need to determine which of our staff will be eligible and will be available to go . We've got to get a head count in order to make reservations .","What's the criteria for staff to attend ? Are we only including our management team in this affair ? Or will we be extending invitations to lower level employees to attend ?
",0,32,26
568,I think Yoga might be suitable for me .,"Why ?
",0,2,2
569,Because it doesn't require a lot of energy and thus easy to keep up .,"But I see people sweat a lot doing Yoga too .
",0,11,11
570,I don't know . I just need to try it once . I'm in urgent need of some exercise to lose some weight .,"You should try swimming then . It helps you to keep fit .
",0,13,12
571,We are looking for a bilingual secretary . Do you think you are proficient in both written and spoken English ?,"I think my English is fairly good . As you can see from my CV , I graduated from university with a B . A . degree in English . I studied the English language and English literature systematically .
",0,40,29
572,How are your typing and shorthand skills ?,"I can type 80 words a minute , basically no mistake , and can take dictation in English at 120 words per minute .
",0,24,20
573,Are these the clothes you want to have washed ?,"Yes . When can I get them back ?
",0,9,9
574,"Well , if they are collected right now , you can get them back tonight .","That's fine . By the way , please have that suit dry cleaned .
",0,14,13
575,"What's the matter with me , Doctor ? I feel so tired these days .","Is your blood pressure , I'm afraid . It's far too high .
",0,13,12
576,And what's the cause of that ?,"Overwork-amongst other things . You can't work 24 hours a day . You ' Ve got to slow down .
",0,20,17
577,But I can't just slow down .,"You've got to , I'm afraid . And look at this . You weigh 200 stones . That's too much for a man of your size .
",0,27,24
578,You mean I've got to lose weight ?,"Yes . You've got to cut down on bread and potatoes and take more exercise .
",0,16,14
579,"You are an early bird , Tom . What do you do in the morning then ?","Exercise . The morning hours are the most precious period within a single day . We should not pass them up easily . Seize the time and do something useful .
",0,31,27
580,"So , you choose to spend it on bodybuilding . Where do you exercise ?","Usually , I run to the Black Bamboo Park as a warm-up . Admission is free . Then I start my activities .
",0,23,20
581,Do you do the same exercises every day ?,"No , I've deliberately kept a balance between various exercises ; parallel bars , push-ups , sit-ups , bunny-hops , five-kilometer run , and so on . I alternate them over the weekdays . Sometimes , when I find myself in a bad state , I will simply idle about in the park .
",0,54,40
582,Why don't you just stay in bed when you are feeling unfit for exercising ?,"It's not easy to keep a good habit , you know . I fear that if I fail to get up early one day , I may find it still more difficult to rise early the next . Besides , a mere walk in the early morning is much fun , too . Here and there in the park , you meet whole gangs of senior citizens who might be singing operas or old songs , playing er'hu , chess , or just chatting and gossiping . It's interesting to join them .
",0,93,67
583,I want some cosmetics.Could you recommend some ?,"I think Pond's is the best .
",0,7,7
584,"And they're very dear , too .","They're on special offer today .
",0,6,6
585,"Steven , I'm going abroad by plane for the first time tomorrow . Can you give me some advice ? And what should I pay attention to ?","First , you should have enough sleep to get over the jet lag before the departure . Most people will suffer from jet lag for a few days after a long flight .
",0,33,28
586,I will go to bed early tonight .,"Do you have an airsickness ?
",0,6,6
587,I don't know . But I have a carsickness .,"You'd better bring some medicine for airsickness .
",0,8,8
588,Can we choose a time to look at houses together ?,"Can you do that in the mornings , or would the afternoons be best ?
",0,15,14
589,Either way is good for me .,"There are a number of open houses this weekend in your area . Would that okay with you ?
",0,19,19
590,"I can take a little time off of work , or I can go on a weekend , also .","We could meet at the real estate office , or I could pick you up at your home .
",0,19,17
591,"I am leaving from work , so maybe I could just meet you at the first house that we will look at .","I can think of five houses that we should look at . It will take most of the day .
",0,20,18
592,I would like to see as many as possible .,"When I have confirmed the times with the owners , I will e-mail you our plans for the day .
",0,20,17
593,Do you have a package tour to Hollywood ?,"Yes , here is the table , which plans do you like best ?
",0,14,13
594,The seven-days trip shall be fine . How much is this tour ?,"$ 300 .
",0,3,3
595,We will take the trip . Could you give us a pamphlet ?,"Here you are .
",0,4,4
596,What ’ s the problem ? Things are getting out of hand . You keep sticking your nose where it doesn ’ t belong .,"What do you mean ?
",0,5,5
597,"Mom , when you come home , please buy a coat , a skirt , a sweater ...","Enough is enough . I know .
",0,7,6
598,"Mr.Chen , do you mind if I smoke ?","I'm sorry , Mrs . Lin . We don't allow smoking in the office .
",0,15,13
599,"Good morning , can I help you ?","I want to American breakfast with fried eggs sunny side up .
",0,12,12
600,"What kind of juice do you prefer , sir ?","Breakfast juice and please make my coffee very strong .
",0,10,10
601,"Yes , sir . American breakfast with fried eggs sunny side up . Breakfast juice and black coffee . And my correct , sir ?","Yes , that ’ s right .
",0,7,7
602,"Is there anything else , sir ?","No , that ’ s all .
",0,7,7
603,"Good morning , sir . I ’ Ve got breakfast your ordered .","Just put it on the table please .
",0,8,8
604,"Do you need anything else , sir ?","No , thanks . Oh , yes , could I have some juice for the mini bar ?
",0,18,16
605,What kind of juice do you like sir ?,"Tomato or orange juice , please .
",0,7,7
606,Should we tip ? This service is pretty good .,"Yeah , we probably should.How much is normal ?
",0,9,9
607,How about 10 percent ? That's about 6 dollars .,"That sounds about right .
",0,5,5
608,What time does the train for Tibet leave ?,"It will leave at 3:00 p . m .
",0,9,8
609,When does it arrive ?,"It should be due in at 7:30 a . m.tomorrow .
",0,11,10
610,How much is the ticket ?,"It's 86 coach and 175 berths
",0,6,6
611,"Hey , taxi .","Where to , sir ?
",0,5,5
612,Beijing Library .,"Hop in , please .
",0,5,5
613,Is it a long ride to Beijing Library ?,"It will take about thirty minutes because it is the rush hour .
",0,13,13
