WorkerId,Input.query1,Input.response1,Input.query2,Input.response2,Input.query3,Input.response3,Input.query4,Input.response4,Input.query5,Input.response5,Input.query6,Input.response6,Input.query7,Input.response7,Input.query8,Input.response8,Input.query9,Input.response9,Input.query10,Input.response10,Answer.pair1,Answer.pair2,Answer.pair3,Answer.pair4,Answer.pair5,Answer.pair6,Answer.pair7,Answer.pair8,Answer.pair9,Answer.pair10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approve,Reject
WR_P2TJ,How much will that run me ?,"It depends on traffic and distance , but it is reasonable .","Yes , please . Do you have any carry-on items ?","Do you want me to put it on the belt , too ?",It was a great game .,What was the score at the end of the game ?,Have you ever tried shopping online ?,"No , never . I prefer to actually see and touch what I'm buying before I pay for it , especially for clothes and shoes .","That happens . Without close quality examination , we may encounter fraud , and the e-shop may suddenly disappear .","What's more , it's not always so safe for us to pay online as hackers might steal the user name and password .",I also have blow if you prefer to do a few lines .,"No , I am ok , really .",I got my connections ! Just tell me what you want and I ' ll even give you one ounce for free .,"Sounds good ! Let ' s see , I want .",Yeah ?,I want you to put your hands behind your head ! You are under arrest !,"Oh , so do I .",Why don't we go for one now ?,Are you available for travel ?,"Yes , I like travelling . I am young , and unmarried . It ' s no problem for me to travel frequently .",4,3,4,5,4,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_FN6R,How much will that run me ?,"It depends on traffic and distance , but it is reasonable .","Yes , please . Do you have any carry-on items ?","Do you want me to put it on the belt , too ?",It was a great game .,What was the score at the end of the game ?,Have you ever tried shopping online ?,"No , never . I prefer to actually see and touch what I'm buying before I pay for it , especially for clothes and shoes .","That happens . Without close quality examination , we may encounter fraud , and the e-shop may suddenly disappear .","What's more , it's not always so safe for us to pay online as hackers might steal the user name and password .",I also have blow if you prefer to do a few lines .,"No , I am ok , really .",I got my connections ! Just tell me what you want and I ' ll even give you one ounce for free .,"Sounds good ! Let ' s see , I want .",Yeah ?,I want you to put your hands behind your head ! You are under arrest !,"Oh , so do I .",Why don't we go for one now ?,Are you available for travel ?,"Yes , I like travelling . I am young , and unmarried . It ' s no problem for me to travel frequently .",4,1,5,5,5,3,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,How much will that run me ?,"It depends on traffic and distance , but it is reasonable .","Yes , please . Do you have any carry-on items ?","Do you want me to put it on the belt , too ?",It was a great game .,What was the score at the end of the game ?,Have you ever tried shopping online ?,"No , never . I prefer to actually see and touch what I'm buying before I pay for it , especially for clothes and shoes .","That happens . Without close quality examination , we may encounter fraud , and the e-shop may suddenly disappear .","What's more , it's not always so safe for us to pay online as hackers might steal the user name and password .",I also have blow if you prefer to do a few lines .,"No , I am ok , really .",I got my connections ! Just tell me what you want and I ' ll even give you one ounce for free .,"Sounds good ! Let ' s see , I want .",Yeah ?,I want you to put your hands behind your head ! You are under arrest !,"Oh , so do I .",Why don't we go for one now ?,Are you available for travel ?,"Yes , I like travelling . I am young , and unmarried . It ' s no problem for me to travel frequently .",5,1,5,5,5,2,3,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,"I always hit the snooze button , so give me two calls , one at 7 and another at 7 fifteen .",It'll be our pleasure . We'll call you at 7 and then at 7 fifteen .,"I want to buy some clothes in clothing store . When we are going back , go to the butcher's shop and buy some chicken .",Let ' s also go to the jewelry store to buy a crystal necklace . I want to buy one for you as your birthday present .,Good afternoon ! Trans Pacific Airline . How can I help you ?,I ' m calling to cancel my reservation for Trans Pacific Flight 8 on July 19 from Taipei to Minneapolis . Could you please make it for the same flight on August 2 instead of July 19 ?,"What ' s your name , please ?",My name is Judy Wang .,That ' s correct .,Thank you !,"I am leaving from work , so maybe I could just meet you at the first house that we will look at .",I can think of five houses that we should look at . It will take most of the day .,We will take the trip . Could you give us a pamphlet ?,Here you are .,Please mail this letter for me on your way to the store .,Sure . Do you want it to be registered ?,"Do you need anything else , sir ?","No , thanks . Oh , yes , could I have some juice for the mini bar ?",How much is the ticket ?,It's 86 coach and 175 berths,5,5,5,3,2,4,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,"I always hit the snooze button , so give me two calls , one at 7 and another at 7 fifteen .",It'll be our pleasure . We'll call you at 7 and then at 7 fifteen .,"I want to buy some clothes in clothing store . When we are going back , go to the butcher's shop and buy some chicken .",Let ' s also go to the jewelry store to buy a crystal necklace . I want to buy one for you as your birthday present .,Good afternoon ! Trans Pacific Airline . How can I help you ?,I ' m calling to cancel my reservation for Trans Pacific Flight 8 on July 19 from Taipei to Minneapolis . Could you please make it for the same flight on August 2 instead of July 19 ?,"What ' s your name , please ?",My name is Judy Wang .,That ' s correct .,Thank you !,"I am leaving from work , so maybe I could just meet you at the first house that we will look at .",I can think of five houses that we should look at . It will take most of the day .,We will take the trip . Could you give us a pamphlet ?,Here you are .,Please mail this letter for me on your way to the store .,Sure . Do you want it to be registered ?,"Do you need anything else , sir ?","No , thanks . Oh , yes , could I have some juice for the mini bar ?",How much is the ticket ?,It's 86 coach and 175 berths,5,3,5,2,1,5,3,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_YTX7,"I always hit the snooze button , so give me two calls , one at 7 and another at 7 fifteen .",It'll be our pleasure . We'll call you at 7 and then at 7 fifteen .,"I want to buy some clothes in clothing store . When we are going back , go to the butcher's shop and buy some chicken .",Let ' s also go to the jewelry store to buy a crystal necklace . I want to buy one for you as your birthday present .,Good afternoon ! Trans Pacific Airline . How can I help you ?,I ' m calling to cancel my reservation for Trans Pacific Flight 8 on July 19 from Taipei to Minneapolis . Could you please make it for the same flight on August 2 instead of July 19 ?,"What ' s your name , please ?",My name is Judy Wang .,That ' s correct .,Thank you !,"I am leaving from work , so maybe I could just meet you at the first house that we will look at .",I can think of five houses that we should look at . It will take most of the day .,We will take the trip . Could you give us a pamphlet ?,Here you are .,Please mail this letter for me on your way to the store .,Sure . Do you want it to be registered ?,"Do you need anything else , sir ?","No , thanks . Oh , yes , could I have some juice for the mini bar ?",How much is the ticket ?,It's 86 coach and 175 berths,3,3,5,5,2,4,4,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_FN6R,I am not sure if I will be home later .,"I will be coming by around 10 this morning . If you aren ' t there , I ' ll just use my key .",What time is it anyway ?,Nine-thirty .,How old is Keith ?,He's 21 . How old is James ?,"Yes , that's all you need to do .",Thanks . I'll get back to you .,Could you do me a favor and proofread my resume before I send it out to the human resources department ?,"Sure , let me take a look ... Personal Information , Education , Experience , Training ... I think you should add another section for language . You speak three languages , so you might as well put that on your resume .",I appreciate the building so much . I am wondering if you could take a picture of me against the building .,No problem .,( Handing her a menu ) Your waiter will be here in a minute to take your order .,Thank you .,Wait . Let me tell the lady what we would like to order in front of the seafood fridge first .,OK . I will wait for you inside the restaurant,Get in . I'll take you .,About how much will it cost ?,You are right .,This is the very thing I've been dreaming of .,5,3,4,3,5,2,2,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,I am not sure if I will be home later .,"I will be coming by around 10 this morning . If you aren ' t there , I ' ll just use my key .",What time is it anyway ?,Nine-thirty .,How old is Keith ?,He's 21 . How old is James ?,"Yes , that's all you need to do .",Thanks . I'll get back to you .,Could you do me a favor and proofread my resume before I send it out to the human resources department ?,"Sure , let me take a look ... Personal Information , Education , Experience , Training ... I think you should add another section for language . You speak three languages , so you might as well put that on your resume .",I appreciate the building so much . I am wondering if you could take a picture of me against the building .,No problem .,( Handing her a menu ) Your waiter will be here in a minute to take your order .,Thank you .,Wait . Let me tell the lady what we would like to order in front of the seafood fridge first .,OK . I will wait for you inside the restaurant,Get in . I'll take you .,About how much will it cost ?,You are right .,This is the very thing I've been dreaming of .,5,2,2,2,5,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_S98M,I am not sure if I will be home later .,"I will be coming by around 10 this morning . If you aren ' t there , I ' ll just use my key .",What time is it anyway ?,Nine-thirty .,How old is Keith ?,He's 21 . How old is James ?,"Yes , that's all you need to do .",Thanks . I'll get back to you .,Could you do me a favor and proofread my resume before I send it out to the human resources department ?,"Sure , let me take a look ... Personal Information , Education , Experience , Training ... I think you should add another section for language . You speak three languages , so you might as well put that on your resume .",I appreciate the building so much . I am wondering if you could take a picture of me against the building .,No problem .,( Handing her a menu ) Your waiter will be here in a minute to take your order .,Thank you .,Wait . Let me tell the lady what we would like to order in front of the seafood fridge first .,OK . I will wait for you inside the restaurant,Get in . I'll take you .,About how much will it cost ?,You are right .,This is the very thing I've been dreaming of .,3,3,5,2,5,2,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,"I have a cell phone in my car . Now it's probably on the floor on the passenger side.Why don't you get it for me , and then I can call the police ?",Alright .,"Just a beer , please .",Good . Thank you.sir .,Can I send it in now ?,"You should look at your claim form and see if it has been more than fourteen days since it was due . If it hasn ' t been , we will still accept it .","The boss announces the pay raise today , right ? How much do you think we'll get ?",No idea . Your guess is as good as mine .,"Good day ! Welcome to Lincoln Bank , how may we assist you ?",Hello . I need to find out if a Receipt of Proceeds has arrived . I'm from Felix Wasserman Associates .,I need help using the washer and dryer .,Tell me what the problem is .,First you must check in at Counter No . 4 .,That one there ?,Thank you .,"Well , I suggest that we discuss only the clauses and points where we have different opinions just to save time .",I prefer single breasted suit .,What about this one ? It's a very nice 3 - piece suit .,How large a group are you expecting ?,Six couples .,2,2,5,3,5,3,2,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,"I have a cell phone in my car . Now it's probably on the floor on the passenger side.Why don't you get it for me , and then I can call the police ?",Alright .,"Just a beer , please .",Good . Thank you.sir .,Can I send it in now ?,"You should look at your claim form and see if it has been more than fourteen days since it was due . If it hasn ' t been , we will still accept it .","The boss announces the pay raise today , right ? How much do you think we'll get ?",No idea . Your guess is as good as mine .,"Good day ! Welcome to Lincoln Bank , how may we assist you ?",Hello . I need to find out if a Receipt of Proceeds has arrived . I'm from Felix Wasserman Associates .,I need help using the washer and dryer .,Tell me what the problem is .,First you must check in at Counter No . 4 .,That one there ?,Thank you .,"Well , I suggest that we discuss only the clauses and points where we have different opinions just to save time .",I prefer single breasted suit .,What about this one ? It's a very nice 3 - piece suit .,How large a group are you expecting ?,Six couples .,2,2,3,3,5,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_H37V,"I have a cell phone in my car . Now it's probably on the floor on the passenger side.Why don't you get it for me , and then I can call the police ?",Alright .,"Just a beer , please .",Good . Thank you.sir .,Can I send it in now ?,"You should look at your claim form and see if it has been more than fourteen days since it was due . If it hasn ' t been , we will still accept it .","The boss announces the pay raise today , right ? How much do you think we'll get ?",No idea . Your guess is as good as mine .,"Good day ! Welcome to Lincoln Bank , how may we assist you ?",Hello . I need to find out if a Receipt of Proceeds has arrived . I'm from Felix Wasserman Associates .,I need help using the washer and dryer .,Tell me what the problem is .,First you must check in at Counter No . 4 .,That one there ?,Thank you .,"Well , I suggest that we discuss only the clauses and points where we have different opinions just to save time .",I prefer single breasted suit .,What about this one ? It's a very nice 3 - piece suit .,How large a group are you expecting ?,Six couples .,2,2,3,3,5,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,I only need to take this week off .,I appreciate you calling and telling me that you won ' t be in class . See you next week !,"Hello , Parker . How ' s everything ?",Can ' t complain . And you ?,But I want to watch TV now .,That ' s out of the question .,That's insane .,I was so scared when I saw the gun .,"Hmm . You know , the problem might be dust . Did you clean the unit often ?","Well . No , I didn't clean it.But still , I only had the last one two months , and it broke . I don't trust auto-reverse .",I parked in the red zone .,Why did you do that ?,You ' re welcome . Bye .,Bye .,What problem are you having ?,There have been charges made on my debit card that I didn ' t make .,"Hey , you look great ! how's everything ?","Yeah , you know what ? I've been going to the club regularly . The training really pays off . Now I am in a good shape and I know more about how to keep fit .","Hi , this is Kalina from your morning literature class .","Yes , what can I do for you ?",3,3,2,3,5,3,1,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,I only need to take this week off .,I appreciate you calling and telling me that you won ' t be in class . See you next week !,"Hello , Parker . How ' s everything ?",Can ' t complain . And you ?,But I want to watch TV now .,That ' s out of the question .,That's insane .,I was so scared when I saw the gun .,"Hmm . You know , the problem might be dust . Did you clean the unit often ?","Well . No , I didn't clean it.But still , I only had the last one two months , and it broke . I don't trust auto-reverse .",I parked in the red zone .,Why did you do that ?,You ' re welcome . Bye .,Bye .,What problem are you having ?,There have been charges made on my debit card that I didn ' t make .,"Hey , you look great ! how's everything ?","Yeah , you know what ? I've been going to the club regularly . The training really pays off . Now I am in a good shape and I know more about how to keep fit .","Hi , this is Kalina from your morning literature class .","Yes , what can I do for you ?",4,4,2,4,5,4,2,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_BDEC,I only need to take this week off .,I appreciate you calling and telling me that you won ' t be in class . See you next week !,"Hello , Parker . How ' s everything ?",Can ' t complain . And you ?,But I want to watch TV now .,That ' s out of the question .,That's insane .,I was so scared when I saw the gun .,"Hmm . You know , the problem might be dust . Did you clean the unit often ?","Well . No , I didn't clean it.But still , I only had the last one two months , and it broke . I don't trust auto-reverse .",I parked in the red zone .,Why did you do that ?,You ' re welcome . Bye .,Bye .,What problem are you having ?,There have been charges made on my debit card that I didn ' t make .,"Hey , you look great ! how's everything ?","Yeah , you know what ? I've been going to the club regularly . The training really pays off . Now I am in a good shape and I know more about how to keep fit .","Hi , this is Kalina from your morning literature class .","Yes , what can I do for you ?",5,3,2,3,4,3,2,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,I really hope it rains today .,"Yeah , me too .",Do the drivers speak English ?,"Some are better than others . But , you shouldn't have a problem .",Are they safe ?,"For the most part , yes . If you don't feel comfortable with it , then it is best not to take one at night .",I am happy to be speaking to a presidential candidate .,Would you like to ask me anything ?,Would you legalize gay marriage ?,"Yes , I would .","I think you should definitely consider it ! This way you won ' t have to juggle such a busy schedule , and you ' ll still get to spend time with the kids in the evenings . I can refer you this great","Oh , that ' s great . Thanks Grace . Can you give me her number ? I ' ll talk it over with Dan and give her a call tomorrow . Maybe this way I won ' t be so tired every day , and Dan and I might even get to go",I voted today .,Was this your first time ?,What do you mean ?,Because you turned 18 in an election year .,"Look , how grand magnificent the Tiananmen Gate tour is !",What's Tiananmen famous for ?,"Mr.James . I know that office hour is up now , but could you work during the weekend and finish the translations ?","Well , unfortunately I have got something to do this weekend . But let me see ...",2,3,2,1,2,5,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,I really hope it rains today .,"Yeah , me too .",Do the drivers speak English ?,"Some are better than others . But , you shouldn't have a problem .",Are they safe ?,"For the most part , yes . If you don't feel comfortable with it , then it is best not to take one at night .",I am happy to be speaking to a presidential candidate .,Would you like to ask me anything ?,Would you legalize gay marriage ?,"Yes , I would .","I think you should definitely consider it ! This way you won ' t have to juggle such a busy schedule , and you ' ll still get to spend time with the kids in the evenings . I can refer you this great","Oh , that ' s great . Thanks Grace . Can you give me her number ? I ' ll talk it over with Dan and give her a call tomorrow . Maybe this way I won ' t be so tired every day , and Dan and I might even get to go",I voted today .,Was this your first time ?,What do you mean ?,Because you turned 18 in an election year .,"Look , how grand magnificent the Tiananmen Gate tour is !",What's Tiananmen famous for ?,"Mr.James . I know that office hour is up now , but could you work during the weekend and finish the translations ?","Well , unfortunately I have got something to do this weekend . But let me see ...",2,3,5,3,2,5,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_IPD1,I really hope it rains today .,"Yeah , me too .",Do the drivers speak English ?,"Some are better than others . But , you shouldn't have a problem .",Are they safe ?,"For the most part , yes . If you don't feel comfortable with it , then it is best not to take one at night .",I am happy to be speaking to a presidential candidate .,Would you like to ask me anything ?,Would you legalize gay marriage ?,"Yes , I would .","I think you should definitely consider it ! This way you won ' t have to juggle such a busy schedule , and you ' ll still get to spend time with the kids in the evenings . I can refer you this great","Oh , that ' s great . Thanks Grace . Can you give me her number ? I ' ll talk it over with Dan and give her a call tomorrow . Maybe this way I won ' t be so tired every day , and Dan and I might even get to go",I voted today .,Was this your first time ?,What do you mean ?,Because you turned 18 in an election year .,"Look , how grand magnificent the Tiananmen Gate tour is !",What's Tiananmen famous for ?,"Mr.James . I know that office hour is up now , but could you work during the weekend and finish the translations ?","Well , unfortunately I have got something to do this weekend . But let me see ...",3,4,4,3,2,5,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_NNCB,I'm sorry . Ours is a fixed price shop and I can assure you this is the best price you can get for a mural like this .,"Maybe you are right . OK , I'll take it .","That ' d be great , but could I have a cup of tea first ?","Sure , I ' ll just go put the kettle on . Why don ' t you have a seat on the sofa and I ' ll go take care of things in the kitchen .",You can take that with you .,"Can I have an aisle seat , PLS .","I really wanted you to come , but I understand .","Yeah , maybe next time .","Okay , you're going to need to make an appointment .",I don't understand why I need to make an appointment .,Is it too late to mail the Continued Claim Form in now ?,It can ' t be more than fourteen days late for us to accept it .,How much does it cost ?,This one is 1500 yuan .,I need something to wash this down . Is there any juice in the fridge ?,What is that ? It looks like something from a swamp !,Yes he ' s in his office .,"Oh , I hope he didn't notice me .",And how much is the deposit ?,The deposit is $ 500 .,3,3,4,2,3,4,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,I'm sorry . Ours is a fixed price shop and I can assure you this is the best price you can get for a mural like this .,"Maybe you are right . OK , I'll take it .","That ' d be great , but could I have a cup of tea first ?","Sure , I ' ll just go put the kettle on . Why don ' t you have a seat on the sofa and I ' ll go take care of things in the kitchen .",You can take that with you .,"Can I have an aisle seat , PLS .","I really wanted you to come , but I understand .","Yeah , maybe next time .","Okay , you're going to need to make an appointment .",I don't understand why I need to make an appointment .,Is it too late to mail the Continued Claim Form in now ?,It can ' t be more than fourteen days late for us to accept it .,How much does it cost ?,This one is 1500 yuan .,I need something to wash this down . Is there any juice in the fridge ?,What is that ? It looks like something from a swamp !,Yes he ' s in his office .,"Oh , I hope he didn't notice me .",And how much is the deposit ?,The deposit is $ 500 .,3,5,3,2,3,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,I'm sorry . Ours is a fixed price shop and I can assure you this is the best price you can get for a mural like this .,"Maybe you are right . OK , I'll take it .","That ' d be great , but could I have a cup of tea first ?","Sure , I ' ll just go put the kettle on . Why don ' t you have a seat on the sofa and I ' ll go take care of things in the kitchen .",You can take that with you .,"Can I have an aisle seat , PLS .","I really wanted you to come , but I understand .","Yeah , maybe next time .","Okay , you're going to need to make an appointment .",I don't understand why I need to make an appointment .,Is it too late to mail the Continued Claim Form in now ?,It can ' t be more than fourteen days late for us to accept it .,How much does it cost ?,This one is 1500 yuan .,I need something to wash this down . Is there any juice in the fridge ?,What is that ? It looks like something from a swamp !,Yes he ' s in his office .,"Oh , I hope he didn't notice me .",And how much is the deposit ?,The deposit is $ 500 .,3,5,4,2,2,5,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_S98M,Is there anything else I can do for you ?,"No , thanks . I ' m all set . Good-bye .",What kind of personality do you think you have ?,I'm quite active and energetic . I approach things enthusiastically and I don't like to leave things half-done .,How are your typing and shorthand skills ?,"I can type 80 words a minute , basically no mistake , and can take dictation in English at 120 words per minute .","What's the matter with me , Doctor ? I feel so tired these days .","Is your blood pressure , I'm afraid . It's far too high .",Do you do the same exercises every day ?,"No , I've deliberately kept a balance between various exercises ; parallel bars , push-ups , sit-ups , bunny-hops , five-kilometer run , and so on . I alternate them over the weekdays . Sometimes , when I find myself in a bad state , I will simply idle about in the park .","Just sign right here , please . That's everything you need to do .","Perfect . Thank you , goodbye !","Well , let's see if we can find some cheap airfare and we can go towards the end of the year .",Good idea !,"Good evening , Pizza House . This is Marty speaking.May I take your order ?","Um yes . I'd like a medium pizza with pepperoni , olives , and extra cheese .","Hello , Personal Banking . How may I help you ?","Hi there . I'm calling about Personal Internet Banking , what details can you give me ?","Jeff , look at this listing ! It says there is a cozy studio apartment for rent , and it's only $ 700 per month . What do you think ?",Well I think I can afford that apartment . But are pets allowed ?,2,4,4,3,5,2,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,Is there anything else I can do for you ?,"No , thanks . I ' m all set . Good-bye .",What kind of personality do you think you have ?,I'm quite active and energetic . I approach things enthusiastically and I don't like to leave things half-done .,How are your typing and shorthand skills ?,"I can type 80 words a minute , basically no mistake , and can take dictation in English at 120 words per minute .","What's the matter with me , Doctor ? I feel so tired these days .","Is your blood pressure , I'm afraid . It's far too high .",Do you do the same exercises every day ?,"No , I've deliberately kept a balance between various exercises ; parallel bars , push-ups , sit-ups , bunny-hops , five-kilometer run , and so on . I alternate them over the weekdays . Sometimes , when I find myself in a bad state , I will simply idle about in the park .","Just sign right here , please . That's everything you need to do .","Perfect . Thank you , goodbye !","Well , let's see if we can find some cheap airfare and we can go towards the end of the year .",Good idea !,"Good evening , Pizza House . This is Marty speaking.May I take your order ?","Um yes . I'd like a medium pizza with pepperoni , olives , and extra cheese .","Hello , Personal Banking . How may I help you ?","Hi there . I'm calling about Personal Internet Banking , what details can you give me ?","Jeff , look at this listing ! It says there is a cozy studio apartment for rent , and it's only $ 700 per month . What do you think ?",Well I think I can afford that apartment . But are pets allowed ?,2,5,5,4,5,2,2,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,Is there anything else I can do for you ?,"No , thanks . I ' m all set . Good-bye .",What kind of personality do you think you have ?,I'm quite active and energetic . I approach things enthusiastically and I don't like to leave things half-done .,How are your typing and shorthand skills ?,"I can type 80 words a minute , basically no mistake , and can take dictation in English at 120 words per minute .","What's the matter with me , Doctor ? I feel so tired these days .","Is your blood pressure , I'm afraid . It's far too high .",Do you do the same exercises every day ?,"No , I've deliberately kept a balance between various exercises ; parallel bars , push-ups , sit-ups , bunny-hops , five-kilometer run , and so on . I alternate them over the weekdays . Sometimes , when I find myself in a bad state , I will simply idle about in the park .","Just sign right here , please . That's everything you need to do .","Perfect . Thank you , goodbye !","Well , let's see if we can find some cheap airfare and we can go towards the end of the year .",Good idea !,"Good evening , Pizza House . This is Marty speaking.May I take your order ?","Um yes . I'd like a medium pizza with pepperoni , olives , and extra cheese .","Hello , Personal Banking . How may I help you ?","Hi there . I'm calling about Personal Internet Banking , what details can you give me ?","Jeff , look at this listing ! It says there is a cozy studio apartment for rent , and it's only $ 700 per month . What do you think ?",Well I think I can afford that apartment . But are pets allowed ?,4,5,5,5,5,2,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_YYPT,Let's make it a formal affair .,"Yes , that would be best . Now , for food should we have Chinese or American food ?",American food would be the best choice .,"That would be great . What kind of music would you like , a band or recorded music ?",Would you care for some lemon for your tea ?,"No , thank you .","Hello , is Sue there ?",Who ?,I ran my car into a tree yesterday and need to miss a few days of school .,"Oh , my God ! I hope you are all right .","Look at him , he's buff .",I think he's hot too .,How do you feel about that restaurant ?,It wasn't all that great .,Your total comes to $ 7 .,Here's a twenty . Could you give me some more napkins ?,My name is Gao Run .,How do you do ? My name is James Green .,"I am sorry . If you have here more than 24 hours between connecting flights , we can't check your luggage through London .","Well , maybe I can put them in the airport storage there .",4,4,2,2,5,5,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_S98M,Let's make it a formal affair .,"Yes , that would be best . Now , for food should we have Chinese or American food ?",American food would be the best choice .,"That would be great . What kind of music would you like , a band or recorded music ?",Would you care for some lemon for your tea ?,"No , thank you .","Hello , is Sue there ?",Who ?,I ran my car into a tree yesterday and need to miss a few days of school .,"Oh , my God ! I hope you are all right .","Look at him , he's buff .",I think he's hot too .,How do you feel about that restaurant ?,It wasn't all that great .,Your total comes to $ 7 .,Here's a twenty . Could you give me some more napkins ?,My name is Gao Run .,How do you do ? My name is James Green .,"I am sorry . If you have here more than 24 hours between connecting flights , we can't check your luggage through London .","Well , maybe I can put them in the airport storage there .",5,5,2,2,4,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,Let's make it a formal affair .,"Yes , that would be best . Now , for food should we have Chinese or American food ?",American food would be the best choice .,"That would be great . What kind of music would you like , a band or recorded music ?",Would you care for some lemon for your tea ?,"No , thank you .","Hello , is Sue there ?",Who ?,I ran my car into a tree yesterday and need to miss a few days of school .,"Oh , my God ! I hope you are all right .","Look at him , he's buff .",I think he's hot too .,How do you feel about that restaurant ?,It wasn't all that great .,Your total comes to $ 7 .,Here's a twenty . Could you give me some more napkins ?,My name is Gao Run .,How do you do ? My name is James Green .,"I am sorry . If you have here more than 24 hours between connecting flights , we can't check your luggage through London .","Well , maybe I can put them in the airport storage there .",5,5,2,1,3,3,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_YTX7,Look at the heels . They are slanting .,"Ah , I can do it perfectly .","Just a few minutes , ma'am .",Great . Thank you .,How long will it take ? Could you repair them while I wait ?,Yes . They will be ready in a few minutes .,Hello !,"Hello , Is that Stefan ?",Are you busy tomorrow morning ?,I'm free . What's up ?,"May I have a look at that vase , please ?",Of course . It's the best one I have here---and it's only 300 yuan .,OK . I will be there .,Thank you for calling.Goodbye .,"So tell me , what's the difference between the Board of Directors , the CEO , and the stockholders ? They all seems ot be the same group of people to me ...","No , there's a definite difference . You know , the stockholders are the people who own the company ... they're the financial control system . Then there's the CEO — the chief executive officer . He's the hot shot , the main guy who is the boss . If there is only one person with absolute power in the organization , everyone knows that the power will go to their head . It's too dangerous . That's the reason for a Board of Directors . The board is made up of people who are experts in the industry . They could be related to the organization , but more commonly , they are independent and non-biased .",What ' s she doing ?,She ' s sitting under the tree .,I'm sorry to hear that . I'll have to examine you .,"Ok , go ahead .",1,2,5,3,4,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_S98M,Look at the heels . They are slanting .,"Ah , I can do it perfectly .","Just a few minutes , ma'am .",Great . Thank you .,How long will it take ? Could you repair them while I wait ?,Yes . They will be ready in a few minutes .,Hello !,"Hello , Is that Stefan ?",Are you busy tomorrow morning ?,I'm free . What's up ?,"May I have a look at that vase , please ?",Of course . It's the best one I have here---and it's only 300 yuan .,OK . I will be there .,Thank you for calling.Goodbye .,"So tell me , what's the difference between the Board of Directors , the CEO , and the stockholders ? They all seems ot be the same group of people to me ...","No , there's a definite difference . You know , the stockholders are the people who own the company ... they're the financial control system . Then there's the CEO — the chief executive officer . He's the hot shot , the main guy who is the boss . If there is only one person with absolute power in the organization , everyone knows that the power will go to their head . It's too dangerous . That's the reason for a Board of Directors . The board is made up of people who are experts in the industry . They could be related to the organization , but more commonly , they are independent and non-biased .",What ' s she doing ?,She ' s sitting under the tree .,I'm sorry to hear that . I'll have to examine you .,"Ok , go ahead .",1,2,3,4,4,4,2,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
